time_step,action,price,soc,reward,cumulative_reward
281,IDLE,142.95,0.8,0.0,600.6063363515237
282,DISCHARGE,168.43,0.8,95.87203673438884,696.4783730859126
283,CHARGE,124.58,0.2,-78.79131018075535,617.6870629051573
284,DISCHARGE,155.77,0.8,88.66583840239713,706.3529013075545
285,IDLE,93.53,0.2,0.0,706.3529013075545
286,IDLE,100.27,0.2,0.0,706.3529013075545
287,CHARGE,91.55,0.2,-57.901303957683034,648.4515973498715
288,IDLE,92.02,0.8,0.0,648.4515973498715
289,DISCHARGE,110.11,0.8,62.67571076900524,711.1273081188767
290,IDLE,91.1,0.2,0.0,711.1273081188767
291,IDLE,88.07,0.2,0.0,711.1273081188767
292,IDLE,83.26,0.2,0.0,711.1273081188767
293,IDLE,83.25,0.2,0.0,711.1273081188767
294,CHARGE,80.52,0.2,-50.92531943935159,660.2019886795251
295,IDLE,98.3,0.8,0.0,660.2019886795251
296,IDLE,97.42,0.8,0.0,660.2019886795251
297,DISCHARGE,115.1,0.8,65.51606856336848,725.7180572428936
298,IDLE,115.0,0.2,0.0,725.7180572428936
299,IDLE,112.52,0.2,0.0,725.7180572428936
300,IDLE,111.52,0.2,0.0,725.7180572428936
301,IDLE,103.65,0.2,0.0,725.7180572428936
302,CHARGE,100.78,0.2,-63.73886851835387,661.9791887245397
303,IDLE,108.82,0.8,0.0,661.9791887245397
304,IDLE,103.71,0.8,0.0,661.9791887245397
305,IDLE,110.12,0.8,0.0,661.9791887245397
306,DISCHARGE,123.06,0.8,70.04697999485775,732.0261687193974
307,IDLE,105.57,0.2,0.0,732.0261687193974
308,IDLE,104.37,0.2,0.0,732.0261687193974
309,IDLE,99.87,0.2,0.0,732.0261687193974
310,IDLE,89.64,0.2,0.0,732.0261687193974
311,IDLE,84.85,0.2,0.0,732.0261687193974
312,IDLE,78.79,0.2,0.0,732.0261687193974
313,IDLE,82.52,0.2,0.0,732.0261687193974
314,CHARGE,71.82,0.2,-45.4229563106586,686.6032124087388
315,IDLE,80.13,0.8,0.0,686.6032124087388
316,IDLE,74.1,0.8,0.0,686.6032124087388
317,IDLE,73.06,0.8,0.0,686.6032124087388
318,DISCHARGE,84.65,0.8,48.18362470798561,734.7868371167244
319,CHARGE,72.13,0.2,-45.61901752558905,689.1678195911354
320,IDLE,78.65,0.8,0.0,689.1678195911354
321,DISCHARGE,102.89,0.8,58.56601472185042,747.7338343129859
322,IDLE,90.78,0.2,0.0,747.7338343129859
323,IDLE,87.25,0.2,0.0,747.7338343129859
324,IDLE,95.65,0.2,0.0,747.7338343129859
325,CHARGE,78.88,0.2,-49.88809236681636,697.8457419461695
326,IDLE,80.91,0.8,0.0,697.8457419461695
327,IDLE,87.52,0.8,0.0,697.8457419461695
328,IDLE,93.1,0.8,0.0,697.8457419461695
329,IDLE,91.94,0.8,0.0,697.8457419461695
330,DISCHARGE,101.87,0.8,57.98542054344352,755.831162489613
331,IDLE,90.8,0.2,0.0,755.831162489613
332,IDLE,84.08,0.2,0.0,755.831162489613
333,IDLE,76.27,0.2,0.0,755.831162489613
334,IDLE,83.57,0.2,0.0,755.831162489613
335,IDLE,83.56,0.2,0.0,755.831162489613
336,IDLE,83.36,0.2,0.0,755.831162489613
337,IDLE,78.95,0.2,0.0,755.831162489613
338,IDLE,71.83,0.2,0.0,755.831162489613
339,CHARGE,61.8,0.2,-39.085751879681176,716.7454106099318
340,IDLE,69.52,0.8,0.0,716.7454106099318
341,IDLE,63.05,0.8,0.0,716.7454106099318
342,IDLE,87.72,0.8,0.0,716.7454106099318
343,DISCHARGE,132.54,0.8,75.44309059416906,792.1885012041009
344,IDLE,124.57,0.2,0.0,792.1885012041009
345,IDLE,121.24,0.2,0.0,792.1885012041009
346,IDLE,100.43,0.2,0.0,792.1885012041009
347,CHARGE,93.62,0.2,-59.21048690899275,732.9780142951082
348,IDLE,94.08,0.8,0.0,732.9780142951082
349,DISCHARGE,123.27,0.8,70.16651409041211,803.1445283855203
350,IDLE,109.94,0.2,0.0,803.1445283855203
351,CHARGE,97.72,0.2,-61.80355459033081,741.3409737951895
352,IDLE,97.96,0.8,0.0,741.3409737951895
353,DISCHARGE,109.08,0.8,62.08942449081003,803.4303982859996
354,IDLE,95.46,0.2,0.0,803.4303982859996
355,IDLE,90.52,0.2,0.0,803.4303982859996
356,IDLE,90.38,0.2,0.0,803.4303982859996
357,IDLE,85.73,0.2,0.0,803.4303982859996
358,IDLE,87.42,0.2,0.0,803.4303982859996
359,IDLE,85.82,0.2,0.0,803.4303982859996
360,IDLE,75.49,0.2,0.0,803.4303982859996
361,CHARGE,70.48,0.2,-44.57546589773349,758.8549323882661
362,IDLE,73.36,0.8,0.0,758.8549323882661
363,IDLE,71.22,0.8,0.0,758.8549323882661
364,IDLE,78.61,0.8,0.0,758.8549323882661
365,IDLE,74.24,0.8,0.0,758.8549323882661
366,IDLE,88.87,0.8,0.0,758.8549323882661
367,IDLE,106.29,0.8,0.0,758.8549323882661
368,DISCHARGE,139.11,0.8,79.18280015508421,838.0377325433503
369,IDLE,130.45,0.2,0.0,838.0377325433503
370,IDLE,126.09,0.2,0.0,838.0377325433503
371,IDLE,112.19,0.2,0.0,838.0377325433503
372,IDLE,102.38,0.2,0.0,838.0377325433503
373,CHARGE,84.43,0.2,-53.39822056960326,784.6395119737471
374,IDLE,96.37,0.8,0.0,784.6395119737471
375,IDLE,98.5,0.8,0.0,784.6395119737471
376,IDLE,92.96,0.8,0.0,784.6395119737471
377,DISCHARGE,125.64,0.8,71.51554174023994,856.155053713987
378,IDLE,107.57,0.2,0.0,856.155053713987
379,IDLE,97.87,0.2,0.0,856.155053713987
380,IDLE,78.19,0.2,0.0,856.155053713987
381,IDLE,77.27,0.2,0.0,856.155053713987
382,IDLE,81.05,0.2,0.0,856.155053713987
383,IDLE,68.54,0.2,0.0,856.155053713987
384,IDLE,69.37,0.2,0.0,856.155053713987
385,IDLE,65.71,0.2,0.0,856.155053713987
386,IDLE,63.21,0.2,0.0,856.155053713987
387,IDLE,63.93,0.2,0.0,856.155053713987
388,CHARGE,62.92,0.2,-39.7941020755589,816.3609516384281
389,IDLE,70.02,0.8,0.0,816.3609516384281
390,IDLE,67.4,0.8,0.0,816.3609516384281
391,IDLE,75.76,0.8,0.0,816.3609516384281
392,IDLE,89.3,0.8,0.0,816.3609516384281
393,IDLE,92.48,0.8,0.0,816.3609516384281
394,IDLE,95.57,0.8,0.0,816.3609516384281
395,IDLE,107.1,0.8,0.0,816.3609516384281
396,DISCHARGE,115.55,0.8,65.77221305384214,882.1331646922703
397,IDLE,110.25,0.2,0.0,882.1331646922703
398,IDLE,103.27,0.2,0.0,882.1331646922703
399,IDLE,104.51,0.2,0.0,882.1331646922703
400,IDLE,108.82,0.2,0.0,882.1331646922703
401,IDLE,112.79,0.2,0.0,882.1331646922703
402,IDLE,100.77,0.2,0.0,882.1331646922703
403,IDLE,95.57,0.2,0.0,882.1331646922703
404,IDLE,98.18,0.2,0.0,882.1331646922703
405,IDLE,87.19,0.2,0.0,882.1331646922703
406,IDLE,75.95,0.2,0.0,882.1331646922703
407,CHARGE,72.43,0.2,-45.808754185199156,836.3244105070711
408,IDLE,79.97,0.8,0.0,836.3244105070711
409,DISCHARGE,82.53,0.8,46.97689955286535,883.3013100599364
410,IDLE,79.39,0.2,0.0,883.3013100599364
411,CHARGE,70.39,0.2,-44.518544899850454,838.782765160086
412,IDLE,71.8,0.8,0.0,838.782765160086
413,IDLE,77.48,0.8,0.0,838.782765160086
414,IDLE,81.67,0.8,0.0,838.782765160086
415,IDLE,104.08,0.8,0.0,838.782765160086
416,IDLE,122.7,0.8,0.0,838.782765160086
417,IDLE,111.68,0.8,0.0,838.782765160086
418,DISCHARGE,128.2,0.8,72.97271928604552,911.7554844461315
419,IDLE,103.17,0.2,0.0,911.7554844461315
420,IDLE,112.76,0.2,0.0,911.7554844461315
421,IDLE,94.37,0.2,0.0,911.7554844461315
422,IDLE,97.41,0.2,0.0,911.7554844461315
423,CHARGE,90.06,0.2,-56.95894521495286,854.7965392311786
424,IDLE,104.8,0.8,0.0,854.7965392311786
425,DISCHARGE,105.15,0.8,59.85242927400692,914.6489685051855
426,IDLE,100.83,0.2,0.0,914.6489685051855
427,IDLE,99.6,0.2,0.0,914.6489685051855
428,IDLE,98.4,0.2,0.0,914.6489685051855
429,IDLE,95.41,0.2,0.0,914.6489685051855
430,IDLE,78.9,0.2,0.0,914.6489685051855
431,IDLE,78.98,0.2,0.0,914.6489685051855
432,IDLE,62.49,0.2,0.0,914.6489685051855
433,IDLE,51.0,0.2,0.0,914.6489685051855
434,CHARGE,36.06,0.2,-22.80634648513436,891.8426220200512
435,IDLE,46.25,0.8,0.0,891.8426220200512
436,IDLE,46.92,0.8,0.0,891.8426220200512
437,IDLE,60.11,0.8,0.0,891.8426220200512
438,IDLE,59.3,0.8,0.0,891.8426220200512
439,IDLE,78.71,0.8,0.0,891.8426220200512
440,IDLE,79.53,0.8,0.0,891.8426220200512
441,IDLE,85.83,0.8,0.0,891.8426220200512
442,DISCHARGE,111.39,0.8,63.40429954190804,955.2469215619592
443,IDLE,92.04,0.2,0.0,955.2469215619592
444,CHARGE,69.37,0.2,-43.87344025717611,911.3734813047831
445,IDLE,76.61,0.8,0.0,911.3734813047831
446,IDLE,70.56,0.8,0.0,911.3734813047831
447,DISCHARGE,81.54,0.8,46.41338167382335,957.7868629786065
448,IDLE,77.22,0.2,0.0,957.7868629786065
449,IDLE,75.22,0.2,0.0,957.7868629786065
450,IDLE,71.9,0.2,0.0,957.7868629786065
